C;SISA DELANTERO;;P;CRITICA;;;8  1/4 ;;8  5/8 ;;9      ;;9  3/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;
D;ANCHO PECHO DELANTERO Y ESPALDA PUNTA-PUNTA;;P;CRITICA;;;23  7/16;;24  7/16;;25  3/8 ;;26  3/8 ;;27 13/16;;;;;;;;;;;;;;;;;;;
E;LARGO DE DELANTERO;;P;CRITICA;  5/16;  1/4 ;24  5/8 ;;25  1/8 ;;25  5/8 ;;26  1/8 ;;26  5/8 ;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;;;24      ;;25      ;;26      ;;27      ;;28  1/2 ;;;;;;;;;;;;;;;;;;;
G;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;22      ;;23      ;;24      ;;25      ;;26  1/2 ;;;;;;;;;;;;;;;;;;;
H;ANCHO FALDON EN ABERTURA DELANTERO Y ESPALDA;;P;CRITICA;;;22 11/16;;23 11/16;;24 11/16;;25 11/16;;27  3/16;;;;;;;;;;;;;;;;;;;
I;LARGO DE ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  3/8 ;;25  7/8 ;;26  3/8 ;;26  7/8 ;;27  3/8 ;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;22  9/16;;23  9/16;;24  9/16;;25  9/16;;27  3/16;;;;;;;;;;;;;;;;;;;
K;ABERURA DE CUELLO ESPALDA;;P;CRITICA;;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;9  1/4 ;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  5/8 ;;1  3/4 ;;1  7/8 ;;2      ;;2  1/8 ;;;;;;;;;;;;;;;;;;;
M;SISA ESPALDA;;P;CRITICA;;;8  7/8 ;;9  3/8 ;;9  3/4 ;;10  1/8 ;;10  5/8 ;;;;;;;;;;;;;;;;;;;
N;LARGO DE CUELLO ;;C;CRITICA;;;23  1/2 ;;24  1/8 ;;24  3/4 ;;25  3/8 ;;26      ;;;;;;;;;;;;;;;;;;;
O;ALTO DE CUELLO;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;
P;LARGO DE TAPETE ;;C;CRITICA;;;14      ;;14  3/8 ;;14  3/4 ;;15  1/8 ;;15  1/2 ;;;;;;;;;;;;;;;;;;;
Q;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;21  3/8 ;;22  3/8 ;;23  3/8 ;;24  3/8 ;;25  7/8 ;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;21  3/8 ;;22  3/8 ;;23  3/8 ;;24  3/8 ;;25  7/8 ;;;;;;;;;;;;;;;;;;;
5;ABERTURA DE VENTZ DELANTERO-ESPALDA;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
