B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICAL;  3/8 ;  3/8 ;17  1/4 ;;18  1/4 ;;19  1/4 ;;20  1/2 ;;22  1/4 ;;23  1/4 ;;;;;;;;;;;;;;;
C;ANCHO DE CINTURA DELANTERO Y ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;17  1/8 ;;18  1/8 ;;19  1/8 ;;20  3/8 ;;22  1/8 ;;23  1/8 ;;;;;;;;;;;;;;;
D;ANCHO DE CADERA DELANTERO Y ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;19 11/16;;20 11/16;;21 11/16;;22 15/16;;24 11/16;;25 11/16;;;;;;;;;;;;;;;
E;ANCHO DE FALDON DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;23 13/16;;24 13/16;;25  3/4 ;;27      ;;28  3/4 ;;29  3/4 ;;;;;;;;;;;;;;;
F;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;13  5/8 ;;14  1/8 ;;14  5/8 ;;15  1/4 ;;16      ;;16  3/8 ;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICAL;;;6  3/4 ;;7  1/8 ;;7  1/2 ;;7  7/8 ;;8  5/16;;8  3/4 ;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICAL;;;6  3/8 ;;6  9/16;;6 13/16;;7  1/16;;7  1/4 ;;7  3/8 ;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICAL;;;5      ;;5  1/4 ;;5  3/8 ;;5  1/2 ;;5  3/4 ;;5  7/8 ;;;;;;;;;;;;;;;
J;ALTO DE CADERA DELANTERO;;P;CRITICAL;;;22  1/2 ;;22  3/4 ;;23      ;;23  1/4 ;;23  1/2 ;;23  3/4 ;;;;;;;;;;;;;;;
K;ALTO DE CINTURA DELANTERO;;P;CRITICAL;;;14  7/8 ;;15  1/8 ;;15  3/8 ;;15  5/8 ;;15  7/8 ;;16  1/8 ;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;38      ;;38  1/2 ;;39      ;;39  1/2 ;;40  1/16;;40  5/16;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;13  3/4 ;;14  1/4 ;;14  3/4 ;;15  3/8 ;;16  1/8 ;;16  1/2 ;;;;;;;;;;;;;;;
N;ANCHO DE FALDON ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;22 13/16;;23 13/16;;24 13/16;;26      ;;27  3/4 ;;28  3/4 ;;;;;;;;;;;;;;;
O;SISA RECTA ESPALDA;;P;CRITICAL;;;8  1/4 ;;8  9/16;;8  7/8 ;;9  1/4 ;;9 11/16;;10  1/8 ;;;;;;;;;;;;;;;
P;ABERTURA DE CUELLO ESPALDA;;P;CRITICAL;;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/4 ;;7  3/8 ;;;;;;;;;;;;;;;
Q;CAIDA DE CUELLO ESPALDA;;P;CRITICAL;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;
R;ALTO DE CINTURA ESPALDA;;P;CRITICAL;;;16      ;;16  1/4 ;;16  1/2 ;;16  3/4 ;;17      ;;17  1/4 ;;;;;;;;;;;;;;;
S;ALTO CADERA ESPALDA;;P;CRITICAL;;;23  1/2 ;;23  3/4 ;;24      ;;24  1/4 ;;24  1/2 ;;24  3/4 ;;;;;;;;;;;;;;;
T;LARGO SUPERIOR DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;24  1/4 ;;24  1/2 ;;24  7/8 ;;25  1/8 ;;25  1/2 ;;25  5/8 ;;;;;;;;;;;;;;;
U;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;13  5/8 ;;14  3/8 ;;15  1/8 ;;16  1/16;;17      ;;17 13/16;;;;;;;;;;;;;;;
V;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;8  1/2 ;;8  3/4 ;;9      ;;9  5/16;;9  5/8 ;;9  7/8 ;;;;;;;;;;;;;;;
W;LARGO DE COLLARETA DE CUELLO;;C;CRITICAL;;;27  1/4 ;;28  1/8 ;;28  3/4 ;;29  3/8 ;;30  3/8 ;;30  3/4 ;;;;;;;;;;;;;;;
X;ALTO DE COLLARETA DE CUELLO;;C;CRITICAL;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;
Y;LARGO DE COLLARETA DE PRESILLA;;C;CRITICAL;;;6      ;;6      ;;6      ;;6      ;;6      ;;6      ;;;;;;;;;;;;;;;
Z;ALTO DE COLLARETA DE PRESILLA;;C;CRITICAL;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
