B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  3/4 ;;20  1/4 ;;21  3/4 ;;23  1/4 ;;25  1/4 ;;27  1/4 ;;29  1/4 ;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  1/2 ;;20      ;;21  1/2 ;;23      ;;25      ;;27      ;;29      ;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  1/2 ;  1/2 ;15 15/16;;16 15/16;;17 15/16;;18 15/16;;19 15/16;;20 15/16;;21  7/8 ;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;8  1/8 ;;8  7/16;;8  3/4 ;;9      ;;9  5/16;;9  9/16;;9 13/16;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  5/16;;6 11/16;;7      ;;7  3/8 ;;7  3/4 ;;8  1/8 ;;8  1/2 ;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  3/8 ;;3  1/2 ;;3  3/4 ;;3  7/8 ;;4  1/8 ;;4  1/4 ;;4  1/2 ;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  7/16;  1/4 ;30  3/4 ;;31  1/4 ;;31  3/4 ;;32  1/4 ;;33  1/4 ;;34  1/4 ;;35  1/4 ;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;16 15/16;;17 15/16;;18 15/16;;19 15/16;;20 15/16;;21 15/16;;22 15/16;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;9  1/16;;9  3/8 ;;9  5/8 ;;9  7/8 ;;10  1/8 ;;10  3/8 ;;10  9/16;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  5/16;;7  5/8 ;;8      ;;8  3/8 ;;8  3/4 ;;9  1/8 ;;9  1/2 ;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/2 ;;1  1/2 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA;  1/2 ;  1/4 ;26  9/16;;27  1/16;;27  9/16;;28  1/16;;28  9/16;;29  1/16;;29  1/16;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;21  3/4 ;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;9  1/2 ;;10      ;;10  1/2 ;;11      ;;11  1/2 ;;12      ;;12  1/2 ;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;16  1/4 ;;16 15/16;;17 15/16;;18 11/16;;19  9/16;;20  7/16;;21  7/16;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;;;;;;;;;;;;
R;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;12  5/8 ;;13      ;;13  1/2 ;;13  7/8 ;;14  1/4 ;;14  5/8 ;;15  1/8 ;;;;;;;;;;;;;
S;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;14  7/16;;15  7/16;;16  7/16;;17  7/16;;18  7/16;;19  7/16;;20  7/16;;;;;;;;;;;;;
3;ALTO DE MEDID PECHO ESPALDA;;P;CRITICA;;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;15  1/4 ;;16  1/4 ;;17  1/4 ;;18  1/4 ;;19  1/4 ;;20  1/4 ;;21  1/4 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CUELLO 87% LA PRODUCICON = AL PROTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
