M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16  1/4 ;;17      ;;18  3/4 ;;20  9/16;;22  1/16;;23  5/16;;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;5  9/16;;5  3/4 ;;5 13/16;;5  7/8 ;;6  1/8 ;;6  5/16;;;;;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  1/16;;16      ;;17  3/8 ;;18  3/4 ;;20      ;;21  1/4 ;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;;;8  1/16;;8  1/2 ;;8 13/16;;9  3/16;;9  9/16;;10      ;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  1/8 ;;28  1/8 ;;29  1/8 ;;30  1/8 ;;31  1/8 ;;32  1/8 ;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;8      ;;8  1/4 ;;9  1/4 ;;10  1/2 ;;10  3/4 ;;11  3/4 ;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;16  3/4 ;;17  3/4 ;;18  5/8 ;;19  1/2 ;;20  1/4 ;;21  1/8 ;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15  9/16;;16  5/16;;16  3/16;;16  3/8 ;;17 11/16;;18  3/4 ;;;;;;;;;;;;;;;;;
U;LARGO DE CUELLO ;;C;CRITICA;;;16  7/16;;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  3/8 ;;20  1/2 ;;;;;;;;;;;;;;;;;
V;ALTO DE CUELLO ;;C;CRITICA;;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE ;;C;CRITICA;;;12 15/16;;13  3/16;;13  7/16;;13 11/16;;13 15/16;;14  7/16;;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
