B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;19  1/4 ;;20  3/4 ;;22  1/4 ;;23  3/4 ;;25  3/4 ;;27  3/4 ;;29  3/4 ;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19      ;;20  1/2 ;;22      ;;23  1/2 ;;25  1/2 ;;27  1/2 ;;29  1/2 ;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  1/2 ;  1/2 ;16  5/16;;17  5/16;;18  5/16;;19  5/16;;20  5/16;;21  5/16;;22  5/16;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;8  1/2 ;;8  3/4 ;;9      ;;9  5/16;;9  9/16;;9  7/8 ;;10  1/16;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  1/2 ;;6 13/16;;7  3/16;;7  1/2 ;;7  7/8 ;;8  1/4 ;;8  5/8 ;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  3/8 ;;3  1/2 ;;3  3/4 ;;3  7/8 ;;4  1/8 ;;4  1/4 ;;4  1/2 ;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  7/16;  1/4 ;33  1/16;;33  9/16;;34  1/16;;34  9/16;;35  9/16;;36  9/16;;37  9/16;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;17  7/16;;18  7/16;;19  7/16;;20  7/16;;21  7/16;;22  7/16;;23  7/16;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;9  5/16;;9  5/8 ;;9  7/8 ;;10  1/8 ;;10  3/8 ;;10  5/8 ;;10  7/8 ;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;7  1/2 ;;7  7/8 ;;8  1/4 ;;8  5/8 ;;9      ;;9  3/8 ;;9  3/4 ;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/2 ;;1  1/2 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA;  1/2 ;  1/4 ;28  1/4 ;;28  3/4 ;;29  1/4 ;;29  3/4 ;;30  1/4 ;;30  3/4 ;;30  3/4 ;;;;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;21  3/4 ;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;9  1/2 ;;10      ;;10  1/2 ;;11      ;;11  1/2 ;;12      ;;12  1/2 ;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;16  1/4 ;;16 15/16;;17 15/16;;18 11/16;;19  9/16;;20  7/16;;21  7/16;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;2  1/8 ;;;;;;;;;;;;;;;;
R;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;12  5/8 ;;13      ;;13  1/2 ;;13  7/8 ;;14  1/4 ;;14  5/8 ;;15  1/8 ;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;7  3/16;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;14  7/8 ;;15  7/8 ;;16  7/8 ;;17  7/8 ;;18  7/8 ;;19  7/8 ;;20  7/8 ;;;;;;;;;;;;;;;;
3;ALTO DE MEDID PECHO ESPALDA;;P;CRITICA;;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;8  1/8 ;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;21  3/4 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CUELLO 87% LA PRODUCICON = AL PROTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
