C;ANCHO DE PUNTA EN ESCOTE;;P;CRITICAL;;;  3/8 ;;  3/8 ;  3/8 ;  3/8 ;  3/8 ;  3/8 ;  3/8 ;  3/8 ;  3/8 ;  3/8 ;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA ;;P;CRITICAL;;;4  3/4 ;;5  1/16;;5  3/8 ;;5  3/4 ;;6  3/8 ;;6  3/4 ;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPALDA   EN PUNTA SISA;;P;CRITICAL;  3/8 ;  3/8 ;15  3/4 ;;16  3/4 ;;17 13/16;;19  1/16;;20 13/16;;21 13/16;;;;;;;;;;;;;;;
F;UBICACIÓN DE CINTURA ESPALDA ;;P;CRITICAL;;;10      ;;10      ;;10      ;;10      ;;10      ;;10      ;;;;;;;;;;;;;;;
G;ANCHO DE CINTURA ESPALDA ;;P;CRITICAL;  3/8 ;  3/8 ;14  3/4 ;;15  3/4 ;;16  3/4 ;;18  1/16;;19  7/8 ;;20 15/16;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA ;;P;CRITICAL;  3/8 ;  3/8 ;17  1/4 ;;18  1/4 ;;19  1/4 ;;20  7/16;;22  3/16;;23  3/16;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICAL;;  1/4 ;18  5/8 ;;19  1/8 ;;19  5/8 ;;20  1/8 ;;20  5/8 ;;20  7/8 ;;;;;;;;;;;;;;;
J;LARGO DE CUERPO DELANTERO;;P;CRITICAL;;  1/4 ;20  1/4 ;;20  3/4 ;;21  1/4 ;;21  3/4 ;;22  1/4 ;;22  1/2 ;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO DELANTERO ;;P;CRITICAL;;;8 15/16;;9  1/4 ;;9 11/16;;10  3/16;;10 11/16;;10 15/16;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO DELANTERO ;;P;CRITICAL;;;1  7/8 ;;1 15/16;;1 15/16;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;
M;SISA RECTA DELANTERO ;;P;CRITICAL;;;4  9/16;;4 13/16;;5      ;;5  3/8 ;;5  7/8 ;;6  1/8 ;;;;;;;;;;;;;;;
N;ANCHO DE PECHO DELANTERO EN PUNTA SISA;;P;CRITICAL;  3/8 ;  3/8 ;15  7/16;;16  7/16;;17  7/16;;18 11/16;;20  1/2 ;;21  1/2 ;;;;;;;;;;;;;;;
O;UBICACIÓN DE CINTURA DELANTERO;;P;CRITICAL;;;11  3/8 ;;11  3/8 ;;11  3/8 ;;11  3/8 ;;11  3/8 ;;11  3/8 ;;;;;;;;;;;;;;;
P;ANCHO DE CINTURA DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;14  1/2 ;;15  1/2 ;;16  1/2 ;;17 13/16;;19  5/8 ;;20 11/16;;;;;;;;;;;;;;;
Q;ANCHO DE FALDON DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;17  1/4 ;;18  1/4 ;;19  1/4 ;;20  7/16;;22  3/16;;23  3/16;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA DE SISA;;C;CRITICAL;;;26      ;;26  7/8 ;;27  3/4 ;;28  5/8 ;;30  1/8 ;;31  1/8 ;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA DE SISA;;P;CRITICAL;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;; ;;;;;;;;;;;;;;;
T;LARGO DE COLLARETA DE ESCOTE FRENTE;;C;CRITICAL;;;16  1/2 ;;16  7/8 ;;17  1/4 ;;17  3/4 ;;18  1/4 ;;18  1/2 ;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA DE ESCOTE FRENTE ;;C;CRITICAL;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;
V;LARGO DE COLLARETA DE ESCOTE ESPALDA;;C;CRITICAL;;;14  9/16;;14 15/16;;15  5/16;;15 13/16;;16  5/16;;16  9/16;;;;;;;;;;;;;;;
W;ALTO DE COLLARETA DE ESCOTE ESPALDA;;C;CRITICAL;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
