A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;16.4;;16.4;;17.4;;17.4;;18.4;;18.4;;19.4;;19.4;;20.4;;20.4;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;3.2;;3.2;;3.4;;3.4;;3.6;;3.6;;4.0;;4.0;;4.4;;4.4;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;44.6;;46.0;;47.8;;49.6;;51.4;;53.2;;55.0;;56.8;;58.6;;60.4;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;16.4;;17.2;;18.0;;18.8;;19.6;;20.4;;21.2;;22.1;;22.9;;23.7;;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;39.8;;41.4;;43.3;;45.2;;47.1;;49.3;;51.5;;53.7;;55.9;;58.1;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.70;1.00;22.1;;22.8;;23.3;;24.0;;24.7;;25.5;;26.3;;27.2;;28.2;;29.2;;;;;;;;;;;;;
G;ANCHO DE PECHO DELANTER-ESPALDA;;P;CRITICA;1.00;1.00;48.5;;51.0;;54.5;;58.0;;61.5;;66.0;;70.5;;75.0;;79.5;;84.0;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;;;46.1;;48.6;;52.1;;55.6;;59.1;;63.6;;68.1;;72.6;;77.1;;81.6;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;0.70;0.70;77.5;;79.0;;80.5;;82.0;;83.5;;85.5;;87.5;;89.5;;91.5;;93.6;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;15.1;;15.8;;16.2;;17.2;;17.6;;18.6;;19.0;;20.0;;20.4;;21.4;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;15.3;;15.3;;16.3;;16.3;;17.3;;17.3;;18.3;;18.3;;19.3;;19.3;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;8.3;;8.3;;8.8;;8.8;;9.3;;9.3;;9.8;;9.8;;10.3;;10.3;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.00;1.00;43.3;;44.6;;46.5;;48.2;;50.0;;51.8;;53.6;;55.4;;57.2;;59.0;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;16.4;;17.2;;18.0;;18.8;;19.6;;20.4;;21.2;;22.0;;22.9;;23.7;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;37.9;;39.5;;41.3;;43.2;;45.1;;47.3;;49.5;;51.7;;54.0;;56.2;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.70;1.00;19.0;;19.7;;20.3;;21.0;;21.8;;22.7;;23.6;;24.6;;25.7;;26.8;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;0.70;0.70;74.7;;76.2;;77.7;;79.2;;80.7;;82.7;;84.7;;86.7;;88.7;;90.8;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;21.0;;21.7;;22.4;;23.1;;23.8;;24.5;;25.1;;25.8;;26.5;;27.2;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;36.9;;38.3;;40.2;;41.9;;43.7;;46.6;;49.6;;52.5;;55.4;;58.3;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;33.1;;34.3;;35.9;;37.5;;39.1;;41.0;;43.0;;44.9;;46.9;;48.9;;;;;;;;;;;;;
U;LARGO DE CUELLO RECTILINEO;;C;CRITICA;;;39.5;;39.5;;42.0;;42.0;;44.5;;44.5;;47.0;;47.0;;49.5;;49.5;;;;;;;;;;;;;
V;ALTO DE CUELLO CENTRO;;C;CRITICA;;;9.2;;9.2;;9.2;;9.2;;9.2;;9.7;;9.7;;9.7;;9.7;;9.7;;;;;;;;;;;;;
W;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;6.7;;6.7;;6.7;;6.7;;6.7;;7.2;;7.2;;7.2;;7.2;;7.2;;;;;;;;;;;;;
X;LARGO DE PUÑO RECTILINEO;;C;CRITICA;;;30.4;;31.6;;33.0;;34.4;;35.8;;37.6;;39.4;;41.2;;43.0;;44.8;;;;;;;;;;;;;
Y;ALTO DE PUÑO;;C;CRITICA;;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;2.7;;;;;;;;;;;;;
B1;LARGO DE TAJO PECHERA;;P;CRITICA;;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;15.2;;;;;;;;;;;;;
C1;ANCHO DE TAJO PECHERA;;P;CRITICA;;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;2.1;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
